Name,Description,Property 1 Type,Property 1 Name,Property 1 Value,Property 1 Type,Property 2 Name,Property 2 Value,Property 1 Type,Property 3 Name,Property 3 Value,Property 4 Type,Property 4 Name ,Property 4 Value,Property 5 Type,Property 5 Name,Property 5 Value,Property 6 Type,Property 6 Name,Property 6 Value
GameItem1,GI1,string,isLocked,true,string,isa,TestItem,string,,,,,,,,,,,
Cookie,It's a double-chunk chocolate cookie.,string,isa,Cookie,string,isa,Food,string,isa,Dessert,string,contains,Gluten,,,,,,
Spam,It's spam! What's it made of?,string,isa,Spam,string,isa,Food,string,isa,Meat,string,is,Digusting,,,,,,
Tankard,It's a tankard! No beer though...,string,isa,Tankard,string,isa,Container,string,contains,Empty,,,,,,,,,
Jug,Nice jug.,string,isa,Jug,string,isa,Container,string,contains,Empty,,,,,,,,,
BeerBottle,It's a bottle of Carlsberg!,string,isa,BeerBottle,string,isa,Container,string,contains,Beer,string,isa,Drink,string,isa,Alcohol,,,
Custard,Tastes... custardy?,string,isa,Custard,string,isa,Dessert,string,isa,Food,string,isa,Liquid,string,is,Yellow,,,
Sushi,Savour some sushi!,string,isa,Sushi,string,isa,Food,string,contains,Fish,string,contains,Rice,,,,,,
Sake,A fine vintage!,string,isa,Drink,string,isa,Sake,string,isa,Alcohol,,,,,,,,,
PigHead,A pig's head? Best keep this away from prime ministers...,string,isa,PigsHead,string,isa,Meat,string,isa,Food,string,is,Pork,,,,,,
Marmalade,A favourite of Peruvian bears.,string,isa,Marmalade,string,isa,Spread,string,contains,Oranges,string,is,Orange,,,,,,
StrawberryJam,Doesn't shake... musn't be jelly...,string,isa,Jam,string,isa,Spread,string,contains,Strawberries,string,is,Red,,,,,,
Apple,Looks like it fell far from the tree...,string,isa,Apple,string,isa,Fruit,string,isa,Food,string,is,Red,,,,,,
Radish,A ravishing radish!,string,isa,Radish,string,isa,Food,string,isa,Vegetable,string,is,Spicy,string,is,Red,,,
Potato,The most versatile tubor!,string,isa,Potato,string,isa,Vegetable,string,isa,Food,string,is,Brown,,,,,,
FriedEggs,"Eggs, but fried.",string,isa,FriedEggs,string,contains,Eggs,string,isa,Food,string,is,Fried,,,,,,
Honeycomb,Thank Crunchie it's Friday!,string,isa,Honeycomb,string,isa,Dessert,string,is,Sweet,,,,,,,,,
Pineapple,A pineapple! At least it's not upside down...,string,isa,Fruit,string,isa,Pineapple,string,isa,Food,,,,,,,,,
Bacon,"Bacon, like the Kevin!",string,isa,Bacon,string,isa,Food,string,isa,Meat,string,is,Fried,string,is,Pork,,,
PintOfBeer,A pint of Carlsberg!,string,isa,PintOfBeer,string,isa,Drink,string,isa,Alcohol,string,isa,Container,string,contains,Beer,,,
Steak,Let's raise the steaks!,string,isa,Steak,string,isa,Meat,string,isa,Food,,,,,,,,,
BottleOfWine,Another glass couldn't hurt?,string,isa,BottleOfWine,string,isa,Container,string,isa,Drink,string,isa,Alcohol,string,contains,Wine,string,is,Red
Fish,Smells a bit...,string,isa,Fish,string,isa,Food,string,isa,Meat,string,isa,Seafood,string,is,Stinky,,,
SwissCheese,Neutral flavour.,string,isa,Food,string,isa,Cheese,string,isa,SwissCheese,string,is,Yellow,,,,,,
RoastChicken,Can't find any gravy...,string,isa,RoastChicken,string,isa,Food,string,isa,Meat,,,,,,,,,
HalfBaguette,Sacre bleu! Where is the other half of this baguette?!?,string,isa,HalfBaguette,string,isa,Bread,string,contains,Gluten,string,is,French,,,,,,
Eggplant,Wow this is big!,string,isa,Eggplant,string,isa,Vegetable,string,isa,Food,string,is,Purple,,,,,,
RedChilli,,string,isa,RedChilli,string,isa,Vegetable,string,isa,Food,string,is,Spicy,string,is,Red,,,
GreenChilli,,string,isa,GreenChilli,string,isa,Vegetable,string,isa,Food,string,is,Spicy,string,is,Green,,,
Shrimp,,string,isa,Shrimp,string,isa,Food,string,isa,Meat,string,isa,Seafood,string,is,Stinky,,,
Tomato,,string,isa,Tomato,string,isa,Fruit,string,isa,Food,string,is,Red,,,,,,
Strawberry,,string,isa,Strawberry,string,isa,Fruit,string,isa,Food,string,is,Red,,,,,,
Peach,,string,isa,Peach,string,isa,Fruit,string,isa,Food,string,is,Peach,,,,,,
Kiwi,,string,isa,Kiwi,string,isa,Fruit,string,isa,Food,string,is,Green,string,is,Hairy,,,
PumpkinPie,,string,isa,PumpkinPie,string,isa,Pie,string,isa,Food,string,contains,Pumpkin,string,isa,Dessert,,,
LemonMeringuePie,,string,isa,LemonMeringuePie,string,isa,Pie,string,isa,Food,string,contains,Lemon,string,isa,Dessert,,,
ApplePie,,string,isa,ApplePie,string,isa,Pie,string,isa,Food,string,contains,Apple,string,isa,Dessert,,,
Pickle,,string,isa,Pickle,string,isa,Vegetable,string,isa,Food,string,is,Sour,string,is,Green,,,
Pretzel,,string,isa,Pretzel,string,isa,Bread,string,isa,Food,string,contains,Gluten,string,is,Salty,,,
Salami,,string,isa,Salami,string,isa,Meat,string,isa,Food,string,is,Salty,string,is,Stinky,,,
